model_name,size,ratio_min,ratio_max,occupy_min,occupy_max
00000002_1ffb81a71e5b402e966b9341_trimesh_001,4,0.40625,0.984375,0.32373046875,0.78936767578125
00000003_1ffb81a71e5b402e966b9341_trimesh_002,4,0.90625,1.8285714285714285,0.3946533203125,0.60528564453125
00000004_1ffb81a71e5b402e966b9341_trimesh_003,1,0.2109375,0.90625,0.1156005859375,0.2469482421875
00000006_d4fe04f0f5f84b52bd4f10e4_trimesh_001,3,0.3828125,0.875,0.35980224609375,0.635009765625
00000007_b33a147f86da49879455d286_trimesh_000,2,0.1796875,0.9765625,0.1732177734375,0.77398681640625
00000008_9b3d6a97e8de4aa193b81000_trimesh_000,3,0.2421875,0.984375,0.22296142578125,0.78515625
00000009_9b3d6a97e8de4aa193b81000_trimesh_001,5,0.96875,1.855072463768116,0.5072021484375,0.7679443359375
00000010_b4b99d35e04b4277931f9a9c_trimesh_000,9,0.96875,1.5609756097560976,0.4173583984375,0.7598876953125
00000015_b08aa818955948c690fd9b6d_trimesh_000,9,0.546875,2.245614035087719,0.3095703125,0.673828125
00000020_ad34a3f60c4a4caa99646600_trimesh_000,4,0.3359375,3.2,0.25958251953125,0.54278564453125
00000022_ad34a3f60c4a4caa99646600_trimesh_002,5,0.8984375,1.1130434782608696,0.71466064453125,0.8480224609375
00000026_ad34a3f60c4a4caa99646600_trimesh_006,1,4.923076923076923,14.222222222222221,0.0560302734375,0.17864990234375
00000027_ad34a3f60c4a4caa99646600_trimesh_007,4,0.6171875,2.0317460317460316,0.39581298828125,0.65447998046875
00000029_ad34a3f60c4a4caa99646600_trimesh_009,2,1.4382022471910112,3.764705882352941,0.25372314453125,0.54412841796875
00000030_ad34a3f60c4a4caa99646600_trimesh_010,5,1.28,3.1219512195121952,0.3092041015625,0.58203125
00000031_ad34a3f60c4a4caa99646600_trimesh_011,6,0.96875,1.391304347826087,0.65411376953125,0.77178955078125
00000032_ad34a3f60c4a4caa99646600_trimesh_012,2,0.296875,3.3684210526315788,0.18035888671875,0.6051025390625
00000034_ad34a3f60c4a4caa99646600_trimesh_014,5,0.7563025210084033,2.0,0.2464599609375,0.570556640625
00000042_c7d977f326364e35bb5b5d27_trimesh_005,2,0.1171875,2.2857142857142856,0.09075927734375,0.39434814453125
00000049_aa208c45e8734584a147f595_trimesh_000,2,1.4222222222222223,3.878787878787879,0.18206787109375,0.526611328125
00000050_80d90bfdd2e74e709956122a_trimesh_000,4,1.7066666666666668,8.0,0.10577392578125,0.28253173828125
00000053_666139e3bff64d4e8a6ce183_trimesh_002,5,0.3125,0.9765625,0.29559326171875,0.55474853515625
00000054_666139e3bff64d4e8a6ce183_trimesh_003,3,0.015625,0.6484375,0.015625,0.49951171875
00000057_666139e3bff64d4e8a6ce183_trimesh_006,4,0.3046875,0.7890625,0.18426513671875,0.63311767578125
00000058_666139e3bff64d4e8a6ce183_trimesh_007,2,0.3671875,1.3061224489795917,0.24346923828125,0.75390625
00000060_767e4372b5f94a88a7a17d90_trimesh_001,5,0.671875,1.1636363636363636,0.44476318359375,0.89111328125
00000061_767e4372b5f94a88a7a17d90_trimesh_002,3,0.0703125,0.9296875,0.0703125,0.885498046875
00000062_767e4372b5f94a88a7a17d90_trimesh_003,1,0.0390625,1.7534246575342465,0.0390625,0.29412841796875
00000063_767e4372b5f94a88a7a17d90_trimesh_004,2,0.046875,2.206896551724138,0.046875,0.4268798828125
00000065_767e4372b5f94a88a7a17d90_trimesh_006,4,0.21875,0.7578125,0.2171630859375,0.44744873046875
00000066_767e4372b5f94a88a7a17d90_trimesh_007,2,0.1796875,0.859375,0.1551513671875,0.69720458984375
00000067_767e4372b5f94a88a7a17d90_trimesh_008,3,0.234375,0.7578125,0.18707275390625,0.4737548828125
00000068_767e4372b5f94a88a7a17d90_trimesh_009,1,0.0625,0.6484375,0.06005859375,0.2587890625
00000069_767e4372b5f94a88a7a17d90_trimesh_010,3,0.453125,12.8,0.0716552734375,0.4771728515625
00000070_767e4372b5f94a88a7a17d90_trimesh_011,1,2.5098039215686274,5.565217391304348,0.11102294921875,0.245361328125
00000071_767e4372b5f94a88a7a17d90_trimesh_012,3,0.1171875,0.703125,0.0635986328125,0.2884521484375
00000072_767e4372b5f94a88a7a17d90_trimesh_013,0,0.28125,32.0,0.0311279296875,0.460693359375
00000073_767e4372b5f94a88a7a17d90_trimesh_014,7,0.4765625,1.7297297297297298,0.37396240234375,0.622802734375
00000076_767e4372b5f94a88a7a17d90_trimesh_017,5,1.024,1.855072463768116,0.2496337890625,0.633544921875
00000077_767e4372b5f94a88a7a17d90_trimesh_018,3,0.8515625,1.641025641025641,0.38323974609375,0.810791015625
